name;Address;lat;lon;lotQuantity;status
Дитячий садок №25;вулиця Листопадового Чину, 26;49.83968463876572;24.017132519928536;5;Державний
Leo Kids;Львівська область, м.Львів, вул. Вигода 62а;49.83783980476263;23.974065808219063;3;Приватний
Дитячий садок Бембі;вулиця Луцького, 28;49.846346005721855;23.997121091415377;4;Державний
ЗДО "Лісова казка";Львівська область, м.Львів, Шевченківський район, ал. вул.Величковського 12;49.878044793074366;23.937418369591867;5;Державний
"Веселе левеня";Жовківський район, м.Дубляни, вул. вул.В.Великого 3;49.89672931736897;24.093885596579145;4;Приватний
ЗДО ясла - садок №2;Львівська область, м.Львів, ал. Широка 78;49.855330513393675;23.968529097373693;3;Державний
Англоленд Тіффані;ЖК Tiffany apartments, вулиця Пасічна, 84а, Львів, Львівська область, 79055;49.82409470809746;24.073770985205154;2;Приватний
ЗДО №30;Львівська область, м.Львів, ал. Низинна 29;49.83925560131868;23.971813925411283;1;Державний
ЗДО № 75;Львівська область, м.Львів, Залізничний район, ал. Виговського 75;49.81568708532321;23.979275625409745;1;Державний
ЗДО "РІО";вулиця Стрийська, 45а, Львів, Львівська область;49.80831915987297;24.017370336543703;2;Приватний
ЗДО"Дошкілля Святої Софії";Львівська область, м.Львів, ал. вул.Шевченка 60 14;49.846063140070136;24.011793267740316;5;Приватний
